,Country,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
330,co,cota,4.809384,-74.098001,57.469999999999956,93,75,2.1
331,ir,tonekabon,36.816259,50.873763000000004,53.07799999999996,87,75,0.45
332,fr,cluses,46.064816,6.588355,52.66400000000003,57,0,4.1
333,ru,stalskoye,43.187036,46.971334999999996,44.86999999999996,93,90,5.0
334,pl,elblag,54.1522,19.408841,32.26999999999996,90,0,2.1
335,pt,ponte,41.470566,-8.329895,57.469999999999956,87,75,5.7
336,gn,forecariah,9.4305556,-13.0880556,80.86999999999996,74,0,2.1
337,us,cypress gardens,27.993611100000003,-81.69027779999999,82.21999999999997,69,90,2.6
338,us,hawthorne,40.9491667,-74.1541667,41.39600000000005,60,40,0.95
339,ph,tiwi,10.929722,122.734167,71.63059999999999,94,20,1.6
340,ph,malainen luma,14.270303,120.788398,79.06999999999996,83,40,0.5
341,ca,cannington,44.35,-79.033333,43.088000000000044,32,75,6.2
342,ua,kivsharivka,49.621247,37.70357,35.360600000000034,93,92,4.35
343,pk,vihari,30.033333000000002,72.35,72.44059999999998,77,44,4.65
344,ro,valeni,44.233333,24.783333,42.47060000000001,57,0,2.9
345,in,khirkiya,22.166667,76.85,79.46060000000003,28,64,1.6
346,hu,kunhegyes,47.366667,20.633333,44.86999999999996,65,0,3.1
347,gh,ejura,7.383333299999999,-1.3666667,79.46060000000003,79,44,2.15
348,ke,wote,-1.7833332999999998,37.6333333,64.25059999999996,100,92,1.7
349,in,udpura,24.716667,75.966667,70.01060000000004,38,0,1.75
350,gr,terpsithea,39.6166667,22.3666667,48.469999999999956,76,20,2.6
351,ru,filimonovo,56.201111,95.461111,19.47559999999995,85,44,3.65
352,mu,plaine magnien,-20.4286111,57.653055599999995,80.86999999999996,83,75,1.0
353,ru,uchkent,43.114272,47.082547,44.86999999999996,93,90,5.0
354,in,saraikela,22.716667,85.95,62.40559999999999,87,0,1.2
355,ro,rosiile,44.866667,23.933332999999998,41.26999999999996,65,0,2.1
356,ro,vladimirescu,46.15,21.4,39.36199999999995,80,0,4.1
357,us,sulphur springs,33.1383333,-95.6008333,67.28000000000004,77,40,1.85
358,cn,dunhua,43.3725,128.2425,34.91060000000003,65,92,3.65
359,my,kudat,6.8837,116.8477,71.86999999999996,100,75,0.5
